Artist;Grouping;Genre
Trick Daddy;Hip-Hop/R&B;Rap
Vanilla Ice;Hip-Hop/R&B;Rap
Wax;Hip-Hop/R&B;Rap
Will Smith;Hip-Hop/R&B;Rap
Wyclef Jean;Hip-Hop/R&B;Rap
Xzibit;Hip-Hop/R&B;Rap
Beastie Boys;Metal;Nu-Metal
Acoustic Rescue.;Instrumental;Instrumental [Acoustic]
Andy McKee;Instrumental;Instrumental [Acoustic]
2Cellos;Instrumental;Instrumental: [Cello]
Casper Smit;Instrumental;Instrumental: [Covers]
Al Pitrelli, Andy Timmons, Brad Gillis & John Petrucci;Instrumental;Instrumental: [Guitar]
Al Pitrelli, Andy Timmons, Brad Gillis & Reb Beach;Instrumental;Instrumental: [Guitar]
Al Pitrelli, Andy Timmons, Brad Gillis, Michael Lee Firkins & Steve Morse;Instrumental;Instrumental: [Guitar]
Al Pitrelli, Brad Gillis, John Petrucci, Michael Lee Firkins, Reb Beach & Steve Morse;Instrumental;Instrumental: [Guitar]
Al Pitrelli, George Lynch, John Petrucci, Michael Lee Firkins & Reb Beach;Instrumental;Instrumental: [Guitar]
Al Pitrelli, George Lynch, Michael Lee Firkins, Reb BeachSteve Morse;Instrumental;Instrumental: [Guitar]
JerryC;Instrumental;Instrumental: [Guitar]
Steve Vai;Instrumental;Instrumental: [Hard Rock]
Marty Friedman;Instrumental;Instrumental: [Heavy Metal]
Michael Angelo Batio;Instrumental;Instrumental: [Heavy Metal]
NESkimos;Instrumental;Instrumental: [Heavy Metal]
The Piano Guys;Instrumental;Instrumental: [Piano]
Morte Macabre;Instrumental;Instrumental: [Progressive Rock]
Nobuo Uematsu;Instrumental;Instrumental: [Video Game]
Taylor Davis;Instrumental;Instrumental: [Video Game]
Studio All-Stars;Instrumental;Instrumental: Chill Out Style
CSGuitar89;Instrumental;Instrumental: Video Game [Guitar]
Joe Barnes;Interview;Interview
The Genghis and Ragman Show;Interview;Interview
Jon Oliva;Interviews;Metal: Interviews
Seth MacFarlane;Jazz;Swing
The Brian Setzer Orchestra;Jazz;Swing
Art Barduhn;Kids;Children
The Penguins of Madagascar;Kids;Holiday: Christmas
David Lucas Burge;Lessons;Lessons: Perfect Pitch
Lightning Round;Lessons;Lessons: Perfect Pitch
Relative Pitch Ear Training Super Course;Lessons;Lessons: Relative Pitch
Brett Manning;Lessons;Lessons: Vocal
LearnXen;Lessons;Lessons: Vocal (Personal Lessons)
Sound Test;Lessons;Lessons: Vocal Lessons
Spelling Test;Lessons;Lessons: Vocal Lessons
4-Thirteen;Local Utah Music;Local Utah Music
4saken1;Local Utah Music;Local Utah Music
4Saken1;Local Utah Music;Local Utah Music
A Balance of Power;Local Utah Music;Local Utah Music
A Cassandra Utterance;Local Utah Music;Local Utah Music
A Fist Full of Fingers;Local Utah Music;Local Utah Music
A Killing Dove (Washington);Local Utah Music;Local Utah Music
Abby Normal;Local Utah Music;Local Utah Music
Addam - Wuddawaste;Local Utah Music;Local Utah Music
Addishole;Local Utah Music;Local Utah Music
Allyptic;Local Utah Music;Local Utah Music
Almost Never;Local Utah Music;Local Utah Music
Amber Alert;Local Utah Music;Local Utah Music
And Embers Rise;Local Utah Music;Local Utah Music
AngelFelt;Local Utah Music;Local Utah Music
Arsenic Addiction;Local Utah Music;Local Utah Music
Aura Surreal;Local Utah Music;Local Utah Music
