Gulliver's Travels [2010];Adventure/
Deadpool [2016];Based on/Comic Books/Marvel/
Deadpool 2 [2018];Based on/Comic Books/Marvel/
Doctor Strange [2016];Based on/Comic Books/Marvel/
Dr. Strange [1978];Based on/Comic Books/Marvel/
Elektra [2005];Based on/Comic Books/Marvel/
Fantastic Four [2005];Based on/Comic Books/Marvel/
Fantastic Four: Rise of the Silver Surfer [2007];Based on/Comic Books/Marvel/
Generation X [1996];Based on/Comic Books/Marvel/
Ghost Rider [2007];Based on/Comic Books/Marvel/
Ghost Rider: Spirit of Vengeance [2011];Based on/Comic Books/Marvel/
Guardians of the Galaxy [2014];Based on/Comic Books/Marvel/
Guardians of the Galaxy Vol. 2 [2017];Based on/Comic Books/Marvel/
Howard the Duck [1986];Based on/Comic Books/Marvel/
Hulk [2003];Based on/Comic Books/Marvel/
Iron Man [2008];Based on/Comic Books/Marvel/
Iron Man 2 [2010];Based on/Comic Books/Marvel/
Iron Man 3 [2013];Based on/Comic Books/Marvel/
Logan [2017];Based on/Comic Books/Marvel/
Man-Thing [2005];Based on/Comic Books/Marvel/
Nick Fury [2012];Based on/Comic Books/Marvel/
Nick Fury: Agent of Shield [1998];Based on/Comic Books/Marvel/
Punisher: War Zone [2008];Based on/Comic Books/Marvel/
Red Sonja [1985];Based on/Comic Books/Marvel/
Silver Surfer [2014];Based on/Comic Books/Marvel/
Spider-Man [2002];Based on/Comic Books/Marvel/
Spider-Man 2 [2004];Based on/Comic Books/Marvel/
Spider-Man 3 [2007];Based on/Comic Books/Marvel/
Spider-Man: Homecoming [2017];Based on/Comic Books/Marvel/
The Amazing Spider-Man [2012];Based on/Comic Books/Marvel/
The Amazing Spider-Man 2 [2014];Based on/Comic Books/Marvel/
The Avengers [2012];Based on/Comic Books/Marvel/
The Death of the Incredible Hulk [1990];Based on/Comic Books/Marvel/
The Fantastic Four [1994];Based on/Comic Books/Marvel/
The Incredible Hulk [1977];Based on/Comic Books/Marvel/
The Incredible Hulk [2008];Based on/Comic Books/Marvel/
The Incredible Hulk Returns [1988];Based on/Comic Books/Marvel/
The New Mutants [2020];Based on/Comic Books/Marvel/
The Punisher [1989];Based on/Comic Books/Marvel/
The Punisher [2004];Based on/Comic Books/Marvel/
The Trial of the Incredible Hulk [1989];Based on/Comic Books/Marvel/
The Wolverine [2013];Based on/Comic Books/Marvel/
Thor [2011];Based on/Comic Books/Marvel/
Thor: Ragnarok [2017];Based on/Comic Books/Marvel/
Thor: The Dark World [2013];Based on/Comic Books/Marvel/
X-Men [2000];Based on/Comic Books/Marvel/
X-Men Origins: Wolverine [2009];Based on/Comic Books/Marvel/
X-Men: Apocalypse [2016];Based on/Comic Books/Marvel/
X-Men: Days of Future Past [2014];Based on/Comic Books/Marvel/
X-Men: First Class [2011];Based on/Comic Books/Marvel/
X-Men: The Last Stand [2006];Based on/Comic Books/Marvel/
X2: X-Men United [2003];Based on/Comic Books/Marvel/
Marvel One-Shot: Agent Carter [2013];Based on/Comic Books/Marvel/One-Shot/
Marvel One-Shot: All Hail the King [2014];Based on/Comic Books/Marvel/One-Shot/
Marvel One-Shot: Item 47 [2012];Based on/Comic Books/Marvel/One-Shot/
Marvel One-Shot: The Consultant [2011];Based on/Comic Books/Marvel/One-Shot/
Astonishing X-Men: Gifted [2010];Based on/Comic Books/Motion Comics/
Axe Cop Motion Comic [2010];Based on/Comic Books/Motion Comics/
Black Panther [2009];Based on/Comic Books/Motion Comics/
Eternals;Based on/Comic Books/Motion Comics/
Game of Thrones Conquest & Rebellion: An Animated History of the Seven Kingdoms [2017];Based on/Comic Books/Motion Comics/
Inception: The Cobol Job [2010];Based on/Comic Books/Motion Comics/
Inhumans [2013];Based on/Comic Books/Motion Comics/
Iron Man: Extremis [2010];Based on/Comic Books/Motion Comics/
Red Sonja: Queen of Plagues [2016];Based on/Comic Books/Motion Comics/
Spider-Woman, Agent of S.W.O.R.D.;Based on/Comic Books/Motion Comics/
Thor & Loki: Blood Brothers [2011];Based on/Comic Books/Motion Comics/
Ultimate Wolverine vs. Hulk [2013];Based on/Comic Books/Motion Comics/
Watchmen Motion Comic [2009];Based on/Comic Books/Motion Comics/
Wolverine Versus Sabretooth: Reborn [2015];Based on/Comic Books/Motion Comics/
Wolverine vs. Sabretooth [2014];Based on/Comic Books/Motion Comics/
Wolverine Weapon X: Tomorrow Dies Today [2014];Based on/Comic Books/Motion Comics/
Wolverine: Origin [2013];Based on/Comic Books/Motion Comics/
Beerfest [2006];Comedy/Broken Lizard/
Broken Lizard: Stands Up [2010];Comedy/Broken Lizard/
Club Dread [2004];Comedy/Broken Lizard/
Puddle Cruiser [1996];Comedy/Broken Lizard/
Super Troopers [2001];Comedy/Broken Lizard/
Super Troopers 2 [2018];Comedy/Broken Lizard/
The Slammin' Salmon [2009];Comedy/Broken Lizard/
The Tinfoil Monkey Agenda [1993];Comedy/Broken Lizard/
100 Bloody Acres [2012];Comedy/Comedy Horror/
A Cadaver Christmas [2011];Comedy/Comedy Horror/
A Haunted House [2013];Comedy/Comedy Horror/
A Haunted House 2 [2014];Comedy/Comedy Horror/
Abbott and Costello Meet the Mummy [1955];Comedy/Comedy Horror/
An American Werewolf in London [1981];Comedy/Comedy Horror/
An American Werewolf in Paris [1997];Comedy/Comedy Horror/
Army of Darkness [1992];Comedy/Comedy Horror/
Attack of the Killer Tomatoes! [1978];Comedy/Comedy Horror/
Bad Taste [1987];Comedy/Comedy Horror/
Baghead [2008];Comedy/Comedy Horror/
Basket Case [1982];Comedy/Comedy Horror/
Battlefield Baseball [2003];Comedy/Comedy Horror/
Beetlejuice [1988];Comedy/Comedy Horror/
Behind the Mask: The Rise of Leslie Vernon [2006];Comedy/Comedy Horror/
Beyond Re-Animator [2003];Comedy/Comedy Horror/
Bhool Bhulaiyaa [2007];Comedy/Comedy Horror/
Bio-Zombie [1998];Comedy/Comedy Horror/
Black Sheep [2006];Comedy/Comedy Horror/
Blood Car [2007];Comedy/Comedy Horror/
Blood Feast 2: All U Can Eat [2002];Comedy/Comedy Horror/
Bloodbath at the House of Death [1984];Comedy/Comedy Horror/
Bloodsucking Bastards [2015];Comedy/Comedy Horror/
Body Jumper [2001];Comedy/Comedy Horror/
Botched [2007];Comedy/Comedy Horror/
Boy Eats Girl [2005];Comedy/Comedy Horror/
Braindead [1992];Comedy/Comedy Horror/
Bride of Chucky [1998];Comedy/Comedy Horror/
Bride of Re-Animator [1990];Comedy/Comedy Horror/
Bubba Ho-tep [2002];Comedy/Comedy Horror/
Buffy the Vampire Slayer [1992];Comedy/Comedy Horror/
Buppah Rahtree Phase 2: Rahtree Returns [2005];Comedy/Comedy Horror/
Burying the Ex [2014];Comedy/Comedy Horror/
Cannibal Women in the Avocado Jungle of Death [1989];Comedy/Comedy Horror/
Carry on Screaming! [1966];Comedy/Comedy Horror/
Cemetery Man [1994];Comedy/Comedy Horror/
Child's Play 2 [1990];Comedy/Comedy Horror/
Choking Hazard [2004];Comedy/Comedy Horror/
Chopper Chicks in Zombietown [1989];Comedy/Comedy Horror/
Citizen Toxie: The Toxic Avenger IV [2000];Comedy/Comedy Horror/
Class of Nuke 'Em High [1986];Comedy/Comedy Horror/
Creepshow III [2006];Comedy/Comedy Horror/
Dance of the Dead [2008];Comedy/Comedy Horror/
Dance of the Vampires [1967];Comedy/Comedy Horror/
Dead & Breakfast [2004];Comedy/Comedy Horror/
Dead Snow [2009];Comedy/Comedy Horror/
Dead Snow: Red vs. Dead [2014];Comedy/Comedy Horror/
Death Becomes Her [1992];Comedy/Comedy Horror/
Dellamorte Dellamore [1994];Comedy/Comedy Horror/
Død snø [2009];Comedy/Comedy Horror/
Død Snø 2 [2014];Comedy/Comedy Horror/
Dog Soldiers [2002];Comedy/Comedy Horror/
Doghouse [2009];Comedy/Comedy Horror/
Doll Graveyard [2005];Comedy/Comedy Horror/
Dr. Giggles [1992];Comedy/Comedy Horror/
El día de la bestia [1995];Comedy/Comedy Horror/
Elvira, Mistress of the Dark [1988];Comedy/Comedy Horror/
Elvira's Haunted Hills [2001];Comedy/Comedy Horror/
Evil Aliens [2005];Comedy/Comedy Horror/
Evil Bong [2006];Comedy/Comedy Horror/
Evil Bong 3: The Wrath of Bong [2011];Comedy/Comedy Horror/
Evil Bong 420 [2015];Comedy/Comedy Horror/
Evil Bong 666 [2017];Comedy/Comedy Horror/
Evil Bong II: King Bong [2009];Comedy/Comedy Horror/
Evil Bong: High 5 [2016];Comedy/Comedy Horror/
Evil Dead 2: Dead by Dawn [1987];Comedy/Comedy Horror/
Evil Dead II [1987];Comedy/Comedy Horror/
Evil Ed [1995];Comedy/Comedy Horror/
Feast [2005];Comedy/Comedy Horror/
Feast 3: The Happy Finish [2009];Comedy/Comedy Horror/
Feast II: Sloppy Seconds [2008];Comedy/Comedy Horror/
Frankenhooker [1990];Comedy/Comedy Horror/
Freaks of Nature [2015];Comedy/Comedy Horror/
Fright Night [1985];Comedy/Comedy Horror/
Frostbiten [2006];Comedy/Comedy Horror/
Frostbitten [2006];Comedy/Comedy Horror/
Geung si sin sang [1985];Comedy/Comedy Horror/
Ghostbusters [1984];Comedy/Comedy Horror/
Ghostbusters II [1989];Comedy/Comedy Horror/
Gingerdead Man 2: Passion of the Crust [2008];Comedy/Comedy Horror/
Gingerdead Man 3: Saturday Night Cleaver [2011];Comedy/Comedy Horror/
Gingerdead Man Vs. Evil Bong [2013];Comedy/Comedy Horror/
Gokudô Kyôfu dai-gekijô: Gozu [2003];Comedy/Comedy Horror/
Gozu [2003];Comedy/Comedy Horror/
Gremlins [1984];Comedy/Comedy Horror/
Gremlins 2: The New Batch [1990];Comedy/Comedy Horror/
Hatchet [2006];Comedy/Comedy Horror/
Haunted Honeymoon [1986];Comedy/Comedy Horror/
Haunted Spooks [1920];Comedy/Comedy Horror/
Hausu [1977];Comedy/Comedy Horror/
High Spirits [1988];Comedy/Comedy Horror/
Hillbillys in a Haunted House [1967];Comedy/Comedy Horror/
Hold That Ghost [1941];Comedy/Comedy Horror/
House [1977];Comedy/Comedy Horror/
Hysterical [1983];Comedy/Comedy Horror/
I Sell the Dead [2008];Comedy/Comedy Horror/
I Was a Teenage Zombie [1987];Comedy/Comedy Horror/
Idle Hands [1999];Comedy/Comedy Horror/
Jennifer's Body [2009];Comedy/Comedy Horror/
Jigoku kôshien [2003];Comedy/Comedy Horror/
Johnny Zombie [1993];Comedy/Comedy Horror/
Juan de los Muertos [2011];Comedy/Comedy Horror/
Juan of the Dead [2011];Comedy/Comedy Horror/
Junk [2000];Comedy/Comedy Horror/
Junk: Shiryô-gari [2000];Comedy/Comedy Horror/
Katakuri-ke no kôfuku [2001];Comedy/Comedy Horror/
Khun krabii hiiroh [2004];Comedy/Comedy Horror/
Killer Condom [1996];Comedy/Comedy Horror/
Kondom des Grauens [1996];Comedy/Comedy Horror/
Leprechaun [1993];Comedy/Comedy Horror/
Life After Beth [2014];Comedy/Comedy Horror/
Little Otik [2000];Comedy/Comedy Horror/
Little Shop of Horrors [1986];Comedy/Comedy Horror/
Lost Boys: The Thirst [2010];Comedy/Comedy Horror/
Lost Boys: The Tribe [2008];Comedy/Comedy Horror/
Love at First Bite [1950];Comedy/Comedy Horror/
Love at First Bite [1979];Comedy/Comedy Horror/
Machine Head [2000];Comedy/Comedy Horror/
Microwave Massacre [1983];Comedy/Comedy Horror/
Motel Hell [1980];Comedy/Comedy Horror/
Mr. Vampire [1985];Comedy/Comedy Horror/
Murder Party [2007];Comedy/Comedy Horror/
My Best Friend Is a Vampire [1987];Comedy/Comedy Horror/
My Boyfriend's Back [1993];Comedy/Comedy Horror/
My Name Is Bruce [2007];Comedy/Comedy Horror/
Netherbeast Incorporated [2007];Comedy/Comedy Horror/
Night of the Comet [1984];Comedy/Comedy Horror/
Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 2: In Shocking 2-D [1991];Comedy/Comedy Horror/
Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3 [2005];Comedy/Comedy Horror/
Once Bitten [1985];Comedy/Comedy Horror/
Otesánek [2000];Comedy/Comedy Horror/
Out of the Dark [1989];Comedy/Comedy Horror/
Pandemonium [1982];Comedy/Comedy Horror/
Pervert! [2005];Comedy/Comedy Horror/
Piranha [1978];Comedy/Comedy Horror/
Piranha [2010];Comedy/Comedy Horror/
Piranha 3D [2010];Comedy/Comedy Horror/
Please Don't Eat My Mother [1973];Comedy/Comedy Horror/
Pop weed sayong [2001];Comedy/Comedy Horror/
Pot Zombies [2005];Comedy/Comedy Horror/
Poultrygeist: Night of the Chicken Dead [2006];Comedy/Comedy Horror/
Private Parts [1972];Comedy/Comedy Horror/
Psycho Beach Party [2000];Comedy/Comedy Horror/
Psychos in Love [1987];Comedy/Comedy Horror/
Rare Exports [2010];Comedy/Comedy Horror/
Redneck Zombies [1987];Comedy/Comedy Horror/
Return of the Killer Tomatoes! [1988];Comedy/Comedy Horror/
Return of the Living Dead Part II [1988];Comedy/Comedy Horror/
Return of the Living Dead: Rave to the Grave [2005];Comedy/Comedy Horror/
Rubber [2010];Comedy/Comedy Horror/
Santa's Slay [2005];Comedy/Comedy Horror/
Sars Wars: Bangkok Zombie Crisis [2004];Comedy/Comedy Horror/
Scared Stiff [1953];Comedy/Comedy Horror/
Scream [1996];Comedy/Comedy Horror/
Scream 2 [1997];Comedy/Comedy Horror/
Scream 3 [2000];Comedy/Comedy Horror/
Seed of Chucky [2004];Comedy/Comedy Horror/
Septic Man [2013];Comedy/Comedy Horror/
Severance [2006];Comedy/Comedy Horror/
Shock Treatment [1981];Comedy/Comedy Horror/
Sisily 2km [2004];Comedy/Comedy Horror/
Slaughter High [1986];Comedy/Comedy Horror/
Slither [2006];Comedy/Comedy Horror/
Society [1989];Comedy/Comedy Horror/
Spider Baby or, The Maddest Story Ever Told [1968];Comedy/Comedy Horror/
Spook Busters [1946];Comedy/Comedy Horror/
Spooks Run Wild [1941];Comedy/Comedy Horror/
Street Trash [1987];Comedy/Comedy Horror/
Student Bodies [1981];Comedy/Comedy Horror/
Stupid Teenagers Must Die [2006];Comedy/Comedy Horror/
Summer of Blood [2014];Comedy/Comedy Horror/
Sun faa sau si [1998];Comedy/Comedy Horror/
Sweeney Todd: The Demon Barber of Fleet Street [2007];Comedy/Comedy Horror/
Tales from the Darkside: The Movie [1990];Comedy/Comedy Horror/
Terror Firmer [1999];Comedy/Comedy Horror/
Terror Toons [2002];Comedy/Comedy Horror/
Terror Toons 2 [2007];Comedy/Comedy Horror/
TerrorVision [1986];Comedy/Comedy Horror/
Texas Chainsaw Massacre - The Next Generation [1994];Comedy/Comedy Horror/
The 'Burbs [1989];Comedy/Comedy Horror/
The Addams Family [1991];Comedy/Comedy Horror/
The Bat [1926];Comedy/Comedy Horror/
The Cabin in the Woods [2011];Comedy/Comedy Horror/
