Gulliver's Travels [2010];Adventure/
Black Belly of the Tarantula [1971];Horror/Bug Horror/
Black Swarm [2007];Horror/Bug Horror/
Blue Monkey [1987];Horror/Bug Horror/
Bug [1975];Horror/Bug Horror/
Bug Buster [1998];Horror/Bug Horror/
Bugs [2003];Horror/Bug Horror/
Camel Spiders [2011];Horror/Bug Horror/
Caved In - Prehistoric Terror [2006];Horror/Bug Horror/
Centipede! [2004];Horror/Bug Horror/
Cosmic Monsters [1958];Horror/Bug Horror/
Creepers [1985];Horror/Bug Horror/
Creepies [2003];Horror/Bug Horror/
Creepy Crawlers [2000];Horror/Bug Horror/
Critters [1986];Horror/Bug Horror/
Critters 2: The Main Course [1988];Horror/Bug Horror/
Critters 3 [1991];Horror/Bug Horror/
Critters 4 [1992];Horror/Bug Horror/
Curse of the Black Widow [1977];Horror/Bug Horror/
Damnation Alley [1977];Horror/Bug Horror/
Deadly Invasion: The Killer Bee Nightmare [1995];Horror/Bug Horror/
Deadly Stingers [2003];Horror/Bug Horror/
Deadly Swarm [2003];Horror/Bug Horror/
Deep Freeze [2003];Horror/Bug Horror/
Destination: Infestation [2007];Horror/Bug Horror/
Die Bienen - Tödliche Bedrohung [2008];Horror/Bug Horror/
Dragon Wasps [2012];Horror/Bug Horror/
Earth vs the Spider [1958];Horror/Bug Horror/
Earth vs. the Spider [2001];Horror/Bug Horror/
Eight Legged Freaks [2002];Horror/Bug Horror/
Ein Toter hing im Netz [1960];Horror/Bug Horror/
Empire of the Ants [1977];Horror/Bug Horror/
Evil Spawn [1987];Horror/Bug Horror/
Flying Virus [2001];Horror/Bug Horror/
Gamera 2: Assault of the Legion [1996];Horror/Bug Horror/
Gamera 2: Region shurai [1996];Horror/Bug Horror/
GiAnts [2008];Horror/Bug Horror/
Glass Trap [2005];Horror/Bug Horror/
Have Rocket -- Will Travel [1959];Horror/Bug Horror/
High Plains Invaders [2009];Horror/Bug Horror/
Horrors of Spider Island [1960];Horror/Bug Horror/
Ice Crawlers [2003];Horror/Bug Horror/
Ice Spiders [2007];Horror/Bug Horror/
In the Spiders Web [2007];Horror/Bug Horror/
Infestation [2009];Horror/Bug Horror/
Infested [1993];Horror/Bug Horror/
Infested [2002];Horror/Bug Horror/
Insect! [1987];Horror/Bug Horror/
Insectula! [2015];Horror/Bug Horror/
Invicta [2009];Horror/Bug Horror/
It Came from the Desert [2017];Horror/Bug Horror/
It Happened at Lakewood Manor [1977];Horror/Bug Horror/
Killer Ants [2009];Horror/Bug Horror/
Killer Bees [1974];Horror/Bug Horror/
Killer Bees [2005];Horror/Bug Horror/
Killer Bees! [2002];Horror/Bug Horror/
Killer Buzz [2001];Horror/Bug Horror/
Kingdom of the Spiders [1977];Horror/Bug Horror/
La tarantola dal ventre nero [1971];Horror/Bug Horror/
Larger Than Life [1997];Horror/Bug Horror/
Larva [2005];Horror/Bug Horror/
Lavalantula [2015];Horror/Bug Horror/
Legion of Fire: Killer Ants! [1998];Horror/Bug Horror/
Mansquito [2005];Horror/Bug Horror/
Marabunta [1998];Horror/Bug Horror/
Mesa of Lost Women [1953];Horror/Bug Horror/
Mimic [1997];Horror/Bug Horror/
Mimic 2 [2001];Horror/Bug Horror/
Mimic 3: Sentinel [2003];Horror/Bug Horror/
Mongolian Death Worm [2010];Horror/Bug Horror/
Monster from Green Hell [1958];Horror/Bug Horror/
MorphMan [2005];Horror/Bug Horror/
Mosquito [1995];Horror/Bug Horror/
Mosquito Man [2005];Horror/Bug Horror/
Parasite [1982];Horror/Bug Horror/
Parasite [2004];Horror/Bug Horror/
Phase IV [1974];Horror/Bug Horror/
Phenomena [1985];Horror/Bug Horror/
Roughnecks: The Starship Troopers Chronicles;Horror/Bug Horror/
Sand Serpents [2009];Horror/Bug Horror/
Satsujinbachi - kirâ bî [2005];Horror/Bug Horror/
Scorpius Gigantus [2006];Horror/Bug Horror/
Skeeter [1993];Horror/Bug Horror/
Slugs, muerte viscosa [1998];Horror/Bug Horror/
Slugs: The Movie [1988];Horror/Bug Horror/
Spiders [2000];Horror/Bug Horror/
Spiders [2013];Horror/Bug Horror/
Spiders II: Breeding Ground [2001];Horror/Bug Horror/
Squirm [1976];Horror/Bug Horror/
Star Runners [2009];Horror/Bug Horror/
Starship Troopers [1997];Horror/Bug Horror/
Starship Troopers 2: Hero of the Federation [2004];Horror/Bug Horror/
Starship Troopers 3: Marauder [2008];Horror/Bug Horror/
Stinger [2005];Horror/Bug Horror/
Stung [2015];Horror/Bug Horror/
Swarm [2007];Horror/Bug Horror/
Swarmed [2005];Horror/Bug Horror/
Tail Sting [2001];Horror/Bug Horror/
Tarantula [1955];Horror/Bug Horror/
Tarantulas: The Deadly Cargo [1977];Horror/Bug Horror/
The Bees [1978];Horror/Bug Horror/
The Black Scorpion [1957];Horror/Bug Horror/
The Bone Snatcher [2003];Horror/Bug Horror/
The Deadly Bees [1967];Horror/Bug Horror/
The Deadly Mantis [1957];Horror/Bug Horror/
The Fly [1986];Horror/Bug Horror/
The Fly II [1989];Horror/Bug Horror/
The Giant Spider Invasion [1975];Horror/Bug Horror/
The Hive [2008];Horror/Bug Horror/
The Mist [2007];Horror/Bug Horror/
The Monster That Challenged the World [1957];Horror/Bug Horror/
The Naked Jungle [1954];Horror/Bug Horror/
The Nest [1988];Horror/Bug Horror/
The Savage Bees [1976];Horror/Bug Horror/
The Spider [1958];Horror/Bug Horror/
The Strange World of Planet X [1958];Horror/Bug Horror/
The Swarm [1978];Horror/Bug Horror/
The Thaw [2009];Horror/Bug Horror/
The Vortex [2012];Horror/Bug Horror/
The Wasp Woman [1995];Horror/Bug Horror/
The Willies [1990];Horror/Bug Horror/
They Crawl [2001];Horror/Bug Horror/
They Nest [2000];Horror/Bug Horror/
They Will Outlive Us All [2013];Horror/Bug Horror/
Threshold [2003];Horror/Bug Horror/
Ticks [1993];Horror/Bug Horror/
Tsunambee [2015];Horror/Bug Horror/
Tsunambee: The Wrath Cometh [2015];Horror/Bug Horror/
Webs [2003];Horror/Bug Horror/
Cloverfield [2008];Horror/Classic Monsters/
Creature from the Black Lagoon [1954];Horror/Classic Monsters/
Dracula [1931];Horror/Classic Monsters/
Frankenstein [1931];Horror/Classic Monsters/
Frankenstein [1992];Horror/Classic Monsters/
Frankenstein Conquers the World [1965];Horror/Classic Monsters/
Frankenstein Meets the Wolf Man [1943];Horror/Classic Monsters/
Frankenstein vs. Baragon [1965];Horror/Classic Monsters/
Furankenshutain tai chitei kaijû Baragon [1965];Horror/Classic Monsters/
Gezora, Ganime, Kameba: Kessen! Nankai no daikaijû [1970];Horror/Classic Monsters/
Godzilla [1954];Horror/Classic Monsters/
Godzilla [1998];Horror/Classic Monsters/
Godzilla Against MechaGodzilla [2002];Horror/Classic Monsters/
Godzilla, King of the Monsters! [1956];Horror/Classic Monsters/
Gojira [1954];Horror/Classic Monsters/
Gojira tai Mekagojira [2002];Horror/Classic Monsters/
House of Dracula [1945];Horror/Classic Monsters/
House of Frankenstein [1944];Horror/Classic Monsters/
Invisible Agent [1942];Horror/Classic Monsters/
Kaijûtô no kessen: Gojira no musuko [1967];Horror/Classic Monsters/
King Kong [1933];Horror/Classic Monsters/
King Kong [1976];Horror/Classic Monsters/
King Kong [2005];Horror/Classic Monsters/
Phantom of the Opera [1943];Horror/Classic Monsters/
Revenge of the Creature [1955];Horror/Classic Monsters/
She-Wolf of London [1946];Horror/Classic Monsters/
Son of Dracula [1943];Horror/Classic Monsters/
Son of Frankenstein [1939];Horror/Classic Monsters/
Son of Godzilla [1967];Horror/Classic Monsters/
The Bride of Frankenstein [1935];Horror/Classic Monsters/
The Creature Walks Among Us [1956];Horror/Classic Monsters/
The Ghost of Frankenstein [1942];Horror/Classic Monsters/
The Invisible Man [1933];Horror/Classic Monsters/
The Invisible Man Returns [1940];Horror/Classic Monsters/
The Invisible Man's Revenge [1944];Horror/Classic Monsters/
The Invisible Woman [1940];Horror/Classic Monsters/
The Monster Squad [1987];Horror/Classic Monsters/
The Mummy [1932];Horror/Classic Monsters/
The Mummy's Curse [1944];Horror/Classic Monsters/
The Mummy's Ghost [1944];Horror/Classic Monsters/
The Mummy's Hand [1940];Horror/Classic Monsters/
The Mummy's Tomb [1942];Horror/Classic Monsters/
The Wolf Man [1941];Horror/Classic Monsters/
Them! [1954];Horror/Classic Monsters/
Werewolf of London [1935];Horror/Classic Monsters/
Yog: Monster from Space [1970];Horror/Classic Monsters/
100 Tears [2007];Horror/Clown Horror
31 [2016];Horror/Clown Horror
8 Ball Clown [2018];Horror/Clown Horror
All Dark Places [2011];Horror/Clown Horror
All Hallows' Eve [2013];Horror/Clown Horror
Amusement [2008];Horror/Clown Horror
Big Top Evil [2019];Horror/Clown Horror
Blood Harvest [1987];Horror/Clown Horror
Camp Blood [1999];Horror/Clown Horror
Camp Blood 2 [2000];Horror/Clown Horror
Circus of the Dead [2014];Horror/Clown Horror
Cleaver: Rise of the Killer Clown [2015];Horror/Clown Horror
Cleavers: Killer Clowns [2019];Horror/Clown Horror
Closed for the Season [2010];Horror/Clown Horror
Clown [2007];Horror/Clown Horror
Clown [2014];Horror/Clown Horror
Clown [2019];Horror/Clown Horror
Clown Kill [2014];Horror/Clown Horror
Clown Shank [2014];Horror/Clown Horror
Clownhouse [1989];Horror/Clown Horror
Clownstrophobia [2009];Horror/Clown Horror
Clownstrophobia Two [2013];Horror/Clown Horror
Clowntergeist [2017];Horror/Clown Horror
ClownTown [2016];Horror/Clown Horror
Crispy's Curse [2017];Horror/Clown Horror
Dahmer vs. Gacy [2011];Horror/Clown Horror
Dead Clowns [2003];Horror/Clown Horror
Dear Mr. Gacy [2010];Horror/Clown Horror
Drive Thru [2007];Horror/Clown Horror
Fear of Clowns [2004];Horror/Clown Horror
Fear of Clowns 2 [2007];Horror/Clown Horror
Final Draft [2007];Horror/Clown Horror
Fraternity Massacre at Hell Island [2007];Horror/Clown Horror
Fun Time [2015];Horror/Clown Horror
Funny Man [1994];Horror/Clown Horror
Gacy [2003];Horror/Clown Horror
Gags The Clown [2018];Horror/Clown Horror
Gingerclown [2013];Horror/Clown Horror
Grin [2015];Horror/Clown Horror
Hellbreeder [2004];Horror/Clown Horror
Him [2016];Horror/Clown Horror
Hotel Hell [2016];Horror/Clown Horror
I Clowns [1970];Horror/Clown Horror
Insane [2016];Horror/Clown Horror
It [1990];Horror/Clown Horror
It [2017];Horror/Clown Horror
Jingles the Clown [2009];Horror/Clown Horror
Killer Holiday [2013];Horror/Clown Horror
Killer Klowns from Outer Space [1988];Horror/Clown Horror
Killjoy [2000];Horror/Clown Horror
Killjoy 2: Deliverance from Evil [2002];Horror/Clown Horror
Killjoy 3 [2010];Horror/Clown Horror
Killjoy Goes to Hell [2012];Horror/Clown Horror
Killjoy's Psycho Circus [2016];Horror/Clown Horror
Klown Kamp Massacre [2010];Horror/Clown Horror
Land of Smiles [2016];Horror/Clown Horror
Laughter [2012];Horror/Clown Horror
Maniacal [2003];Horror/Clown Horror
Mockingbird [2014];Horror/Clown Horror
Mr. Jingles [2006];Horror/Clown Horror
Night of the Clown [1998];Horror/Clown Horror
Night of the Clown [2016];Horror/Clown Horror
Prank [2013];Horror/Clown Horror
Ripple [2017];Horror/Clown Horror
S.I.C.K. Serial Insane Clown Killer [2003];Horror/Clown Horror
Scary or Die [2012];Horror/Clown Horror
Secrets of the Clown [2007];Horror/Clown Horror
Slashers [2001];Horror/Clown Horror
Sloppy the Psychotic [2012];Horror/Clown Horror
Sorority Slaughterhouse [2016];Horror/Clown Horror
Splash Area [2012];Horror/Clown Horror
Sssshhh... [2003];Horror/Clown Horror
Stitches [2012];Horror/Clown Horror
Tales from the Quadead Zone [1987];Horror/Clown Horror
Terrifier [2016];Horror/Clown Horror
The Clown at Midnight [1999];Horror/Clown Horror
The Clown Murders [1976];Horror/Clown Horror
The Clowns [1970];Horror/Clown Horror
The Devil's Warehouse [2016];Horror/Clown Horror
The Fun Park [2007];Horror/Clown Horror
The Funhouse Massacre [2015];Horror/Clown Horror
The Legend of Wasco [2015];Horror/Clown Horror
Torment [2008];Horror/Clown Horror
Urban Massacre [2002];Horror/Clown Horror
We All Scream for Ice Cream [2007];Horror/Clown Horror
Within the Woods [2005];Horror/Clown Horror
Wrinkles the Clown [2019];Horror/Clown Horror
'Shitsurakuen': jôbafuku onna harakiri [1990];Horror/Hyper Violence
06 Shots, 60ml [2005];Horror/Hyper Violence
06 Tiros, 60Ml [2005];Horror/Hyper Violence
A Chinese Torture Chamber Story [1994];Horror/Hyper Violence
À l'intérieur [2007];Horror/Hyper Violence
Adam Chaplin [2011];Horror/Hyper Violence
Adoration [1996];Horror/Hyper Violence
Aftermath [1994];Horror/Hyper Violence
Akai Hokokusho: Senketsu no Tenshi [1988];Horror/Hyper Violence
Akai misshitsu (heya): Kindan no ôsama geemu [1999];Horror/Hyper Violence
All Night Long 2: Atrocity [1995];Horror/Hyper Violence
All Night Long 3: The Final Chapter [1996];Horror/Hyper Violence
All Night Long R [2002];Horror/Hyper Violence
All Women Are Whores [1980];Horror/Hyper Violence
An American Crime [2007];Horror/Hyper Violence
Andrey Iskanov's Ingression [2010];Horror/Hyper Violence
Audition [1999];Horror/Hyper Violence
August Underground's Penance ]2007];Horror/Hyper Violence
Bat sin fan dim ji yan yuk cha siu bau [19893];Horror/Hyper Violence
Beautiful Swordswomen: Double Seppuku [1990];Horror/Hyper Violence
Beautiful Teacher in Torture Hell [1985];Horror/Hyper Violence
Bijitâ Q [2001];Horror/Hyper Violence
Bijo kenshi: Futari seppuku [1990];Horror/Hyper Violence
Bijo no harawata [1986];Horror/Hyper Violence
Binzume nyoin: Ginkôin · Noriko [1998];Horror/Hyper Violence
Binzume nyoin: Joshikôsei · Yuriko [1998];Horror/Hyper Violence
Binzume nyoin: Yôchien kyôyu · Kyôko [1998];Horror/Hyper Violence
Blood of the Beasts [1949];Horror/Hyper Violence
Blood Sisters [2000];Horror/Hyper Violence
Bone Sickness [2004];Horror/Hyper Violence
Bone Tomahawk [2015];Horror/Hyper Violence
Brawl in Cell Block 99 [2017];Horror/Hyper Violence
Brutal Relax [2010];Horror/Hyper Violence
Cannibal [2006];Horror/Hyper Violence
Captured for Sex 2 [1986];Horror/Hyper Violence
Carne [1991];Horror/Hyper Violence
Centipede Horror [1984];Horror/Hyper Violence
Centurion [2010];Horror/Hyper Violence
Cheuuat gaawn chim [2009];Horror/Hyper Violence
Coleção de Humanos Mortos [2005];Horror/Hyper Violence
Concrete [2004];Horror/Hyper Violence
Crank [2006];Horror/Hyper Violence
Crank: High Voltage [2009];Horror/Hyper Violence
Cruel History of Women’s Torture [1976];Horror/Hyper Violence
Cruelty: Black Rose Torture [1975];Horror/Hyper Violence
Cut and Run [1985];Horror/Hyper Violence
Cutting Moments [1997];Horror/Hyper Violence
Da she [1980];Horror/Hyper Violence
Dan Oniroku hakui nawa jigoku [1980];Horror/Hyper Violence
Dard Divorce [2007];Horror/Hyper Violence
Day Of The Woman [1987];Horror/Hyper Violence
Dead Alive [1992];Horror/Hyper Violence
Deadgirl [2008];Horror/Hyper Violence
Der Todesengel [1998];Horror/Hyper Violence
Descent [2007];Horror/Hyper Violence
Dr. Lamb [1992];Horror/Hyper Violence
Drive [2011];Horror/Hyper Violence
Dumplings [2004];Horror/Hyper Violence
Eat the Schoolgirl [1997];Horror/Hyper Violence
Ebola Syndrome [1996];Horror/Hyper Violence
Entrails of a Beautiful Woman [1986];Horror/Hyper Violence
Faces of Death [1978];Horror/Hyper Violence
Faces of Death II [1981];Horror/Hyper Violence
Faces of Death III [1985];Horror/Hyper Violence
Faces of Death IV [1990];Horror/Hyper Violence
Fairy in a Cage [1977];Horror/Hyper Violence
Female Harakiri: Celebration [1990];Horror/Hyper Violence
Female Harakiri: Glorious Death [1990];Horror/Hyper Violence
Fetus [2008];Horror/Hyper Violence
Fist of Jesus [2012];Horror/Hyper Violence
Fist of the North Star [1986];Horror/Hyper Violence
Giallo a Venezia [1979];Horror/Hyper Violence
Giallo in Venice [1979];Horror/Hyper Violence
Ginî piggu: Manhôru no naka no ningyo ]1988];Horror/Hyper Violence
Gou yeung yi sang [1992];Horror/Hyper Violence
Hâdo ribenji, Mirî [2008];Horror/Hyper Violence
Hâdo ribenji, Mirî: Buraddi batoru [2009];Horror/Hyper Violence
Hako no naka no onna II [1988];Horror/Hyper Violence
Hako no naka no onna: shojo ikenie [1985];Horror/Hyper Violence
Hard Revenge, Milly [2008];Horror/Hyper Violence
Hard Revenge, Milly: Bloody Battle [2009];Horror/Hyper Violence
Header [2006];Horror/Hyper Violence
Hei tai yang: Nan Jing da tu sha [1995];Horror/Hyper Violence
Hokuto no ken [1986];Horror/Hyper Violence
Ice from the Sun [1999];Horror/Hyper Violence
Imprint [2006];Horror/Hyper Violence
Inferno in diretta [1985];Horror/Hyper Violence
Inferno of Torture [1969];Horror/Hyper Violence
Inner Depravity [2005];Horror/Hyper Violence
Inner Depravity 2 [2005];Horror/Hyper Violence
Inside [2007];Horror/Hyper Violence
Into the Mind of a Serial Killer [1993];Horror/Hyper Violence
Irréversible [2002];Horror/Hyper Violence
Jiao zi [2004];Horror/Hyper Violence
Jogakusei: harakiri [1990];Horror/Hyper Violence
Kankin sei no dorei: Ikenie 2 [1986];Horror/Hyper Violence
Kataude mashin gâru [2008];Horror/Hyper Violence
Kick-Ass [2010];Horror/Hyper Violence
Kick-Ass 2 [2013];Horror/Hyper Violence
Kill Bill: Vol. 1 [2003];Horror/Hyper Violence
Kill Bill: Vol. 2 [2004];Horror/Hyper Violence
Kogyaru-gui: Oosaka terekura hen [1997];Horror/Hyper Violence
Konkurîto [2004];Horror/Hyper Violence
Koroshiya 1 [2001];Horror/Hyper Violence
Kyûketsu Shôjo tai Shôjo Furanken [2009];Horror/Hyper Violence
La petite mort [2009];Horror/Hyper Violence
Le sang des bêtes [1949];Horror/Hyper Violence
Lik Wong [1991];Horror/Hyper Violence
Live Feed [2006];Horror/Hyper Violence
Lolita vib-zeme [1987];Horror/Hyper Violence
Lolita Vibrator Torture [1987];Horror/Hyper Violence
Lost Paradise: Riding Habit Harakiri [1990];Horror/Hyper Violence
Lost Souls [1980];Horror/Hyper Violence
Lucker [1986];Horror/Hyper Violence
Lucker the Necrophagous [1986];Horror/Hyper Violence
Lucky Sky Diamond [1990];Horror/Hyper Violence
Mania House Of Cards [1986];Horror/Hyper Violence
Men Behind the Sun 4: The Nanjing Massacre [1995];Horror/Hyper Violence
Mun ching sap daai huk ying [1994];Horror/Hyper Violence
Murder Collection V.1 [2009];Horror/Hyper Violence
Mutant Girls Squad [2010];Horror/Hyper Violence
Muzan-e: AV gyaru satsujin bideo wa sonzai shita! [1999];Horror/Hyper Violence
My Monster [2009];Horror/Hyper Violence
Necromaniac: Schizophreniac 2 [2003];Horror/Hyper Violence
Nekeddo burâddo: Megyaku [1995];Horror/Hyper Violence
Nekro [1998];Horror/Hyper Violence
Nekromantik [1987];Horror/Hyper Violence
Nekromantik 2 [1991];Horror/Hyper Violence
Nine Inch Nails - Broken [1992];Horror/Hyper Violence
Nutbag [2000];Horror/Hyper Violence
Ôdishon [1999];Horror/Hyper Violence
Oniroku Dan: Bikyoshi jigokuzeme [1985];Horror/Hyper Violence
Onna harakiri: sange [1990];Horror/Hyper Violence
Onna harakiri: seisan [1990];Horror/Hyper Violence
Ooru naito rongu 2: Sanji [1995];Horror/Hyper Violence
Ooru naito rongu 3: Saishuu-shô [1996];Horror/Hyper Violence
Orgies of Edo [1969];Horror/Hyper Violence
Ori no naka no yôsei [1977];Horror/Hyper Violence
Ôru naito rongu R [2002];Horror/Hyper Violence
Ostermontag [1991];Horror/Hyper Violence
Patriotism [1966];Horror/Hyper Violence
Peng shi zhi sang jin tian liang [2001];Horror/Hyper Violence
Pig [1999];Horror/Hyper Violence
Primal: Tales of Savagery [2019];Horror/Hyper Violence
Prison of Hell: K3 [2009];Horror/Hyper Violence
Rakkî sukai daiamondo [1990];Horror/Hyper Violence
Rampo jigoku [2005];Horror/Hyper Violence
Rampo Noir [2005];Horror/Hyper Violence
Rape! 13th Hour [1977];Horror/Hyper Violence
Red Account: My Bloody Angel [1988];Horror/Hyper Violence
Red Room [1999];Horror/Hyper Violence
Reipu 25-ji: Bôkan [1977];Horror/Hyper Violence
Rigor Mortis - The Final Colours [2003];Horror/Hyper Violence
Riki-Oh: The Story of Ricky [1991];Horror/Hyper Violence
Rite of Love & Death [1966];Horror/Hyper Violence
Rubber's Lover [1996];Horror/Hyper Violence
Satsu satsu (ayame) [1999];Horror/Hyper Violence
Schindler's List [1993];Horror/Hyper Violence
School Girl: Harakiri [1990];Horror/Hyper Violence
Schramm [1993];Horror/Hyper Violence
Seed [2007];Horror/Hyper Violence
Senketsu no kizuna: Kichiku reipuhan o shinkan saseta shimai [2000];Horror/Hyper Violence
Sentô shôjo: Chi no tekkamen densetsu [2010];Horror/Hyper Violence
Serbuan maut [2011];Horror/Hyper Violence
Serial Killer [2002];Horror/Hyper Violence
Shiro-shôzoku: harakiri [1990];Horror/Hyper Violence
Shogun's Sadism [1976];Horror/Hyper Violence
Sisters of Gore [2009];Horror/Hyper Violence
Snuff Perversions: Bizarre Cases of Death [1999];Horror/Hyper Violence
Snuff-Movie [2005];Horror/Hyper Violence
Sozinho [2003];Horror/Hyper Violence
Splatter: Naked Blood [1995];Horror/Hyper Violence
Srpski film [20101];Horror/Hyper Violence
Subconscious Cruelty [2000];Horror/Hyper Violence
Superjail! [2007];Horror/Hyper Violence
Tarzán y el misterio de la selva [1973];Horror/Hyper Violence
Terrorists, Killers & Middle-East Wackos [2005];Horror/Hyper Violence
Tesis [1996];Horror/Hyper Violence
The Butcher [2007];Horror/Hyper Violence
The Green Elephant [1999];Horror/Hyper Violence
The Hills Have Eyes [2006];Horror/Hyper Violence
The Hood Has Eyez [2007];Horror/Hyper Violence
The Joy of Torture [1968];Horror/Hyper Violence
The Machine Girl [2008];Horror/Hyper Violence
The Meat Grinder [2009];Horror/Hyper Violence
The Night Comes for Us [2018];Horror/Hyper Violence
The Poughkeepsie Tapes [2007];Horror/Hyper Violence
The Raid: Redemption [2011];Horror/Hyper Violence
The Seasoning House [2012];Horror/Hyper Violence
The Torturer [2005];Horror/Hyper Violence
The Untold Story [1993];Horror/Hyper Violence
The White Lie [2007];Horror/Hyper Violence
Thesis [1996];Horror/Hyper Violence
Through Eyes of the Dead [2002];Horror/Hyper Violence
Tokugawa irezumi-shi: Seme jigoku [1969];Horror/Hyper Violence
Tokugawa onna keibatsu-emaki: Ushi-zaki no kei [1976];Horror/Hyper Violence
Tokugawa onna keibatsu-shi [1968];Horror/Hyper Violence
Torched [2004];Horror/Hyper Violence
Tortura [2008];Horror/Hyper Violence
Vampire Girl vs. Frankenstein Girl [2009];Horror/Hyper Violence
Versus [2000];Horror/Hyper Violence
Video Geisteskrank [2008];Horror/Hyper Violence
Visitor Q [2001];Horror/Hyper Violence
Watashi no akai harawata (hana) [1999];Horror/Hyper Violence
White Clothing: Harakiri [1990];Horror/Hyper Violence
Woman in a Box II [1988];Horror/Hyper Violence
Woman in a Box: Virgin Sacrifice [1985];Horror/Hyper Violence
Wu gong zhou [1984];Horror/Hyper Violence
Yakuza keibatsu-shi: Rinchi - shikei! [1969];Horror/Hyper Violence
Yakuza's Law [1969];Horror/Hyper Violence
Yi boh lai beng duk [1996];Horror/Hyper Violence
Yûkoku [1966];Horror/Hyper Violence
Za Mania Kikan Seitai [1986];Horror/Hyper Violence
Zangyaku jokei-shi [1976];Horror/Hyper Violence
Zankoku ijô gyakutai monogatari: Genroku onna keizu [1969];Horror/Hyper Violence
Zankoku: Kurobara rinchi [1975];Horror/Hyper Violence
Zelyonyy slonik [1999];Horror/Hyper Violence
...E tu vivrai nel terrore! L'aldilà [1981];Horror/Religious Horror
[Rec] [2007];Horror/Religious Horror
[Rec] 2 [2009];Horror/Religious Horror
Abby [1974];Horror/Religious Horror
Alice Sweet Alice [1976];Horror/Religious Horror
All the Colors of the Dark [1972];Horror/Religious Horror
Alone in the Dark [1982];Horror/Religious Horror
Amor Só de Mãe [2003];Horror/Religious Horror
Antichrist [2009];Horror/Religious Horror
Black Sunday [1960];Horror/Religious Horror
Cathedral of Demons [1989];Horror/Religious Horror
Child of Satan [1976];Horror/Religious Horror
City of the Living Dead [1980];Horror/Religious Horror
Communion [1976];Horror/Religious Horror
Curse of the Demon [1957];Horror/Religious Horror
Devil [2010];Horror/Religious Horror
Devils of Darkness [1965];Horror/Religious Horror
Dominion: Prequel to the Exorcist [2005];Horror/Religious Horror
Don't Deliver Us from Evil [1971];Horror/Religious Horror
Drag Me to Hell [2009];Horror/Religious Horror
El día de la bestia [1976];Horror/Religious Horror
End of Days [1999];Horror/Religious Horror
Escalofrío [1978];Horror/Religious Horror
Estratto dagli archivi segreti della polizia di una capitale europea [1972];Horror/Religious Horror
Exorcist Chronicles [2013];Horror/Religious Horror
Exorcist: The Beginning [2004];Horror/Religious Horror
Eye of the Devil [1966];Horror/Religious Horror
Fallen [1998];Horror/Religious Horror
Filth [2008];Horror/Religious Horror
Frailty [2001];Horror/Religious Horror
God Told Me To [1976];Horror/Religious Horror
Häxan [1922];Horror/Religious Horror
Hellbound: Hellraiser II [1988];Horror/Religious Horror
Hellraiser III: Hell on Earth [1992];Horror/Religious Horror
Hellraiser: Bloodline [1996];Horror/Religious Horror
Hellraiser: Deader [2005];Horror/Religious Horror
Hellraiser: Hellseeker [2002];Horror/Religious Horror
Hellraiser: Hellworld [2005];Horror/Religious Horror
Hellraiser: Inferno [2000];Horror/Religious Horror
Holy Terror [1976];Horror/Religious Horror
Hostage to the Devil [2016];Horror/Religious Horror
I frati rossi [1988];Horror/Religious Horror
I Walked with a Zombie [1943];Horror/Religious Horror
I, Pet Goat II [2012];Horror/Religious Horror
Il demonio [1963];Horror/Religious Horror
Inauguration of the Pleasure Dome [1954];Horror/Religious Horror
Incubus [1965];Horror/Religious Horror
Invocation of My Demon Brother [1969];Horror/Religious Horror
La chiesa [1989];Horror/Religious Horror
La Herencia Valdemar [2010];Horror/Religious Horror
La herencia Valdemar II: La sombra prohibida [2010];Horror/Religious Horror
La maschera del demonio [1960];Horror/Religious Horror
Leák [1981];Horror/Religious Horror
Legion [2010];Horror/Religious Horror
Les possédées du diable [1974];Horror/Religious Horror
Lisa and the Devil [1973];Horror/Religious Horror
Lisa e il diavolo [1973];Horror/Religious Horror
Lord of Illusions [1995];Horror/Religious Horror
Lorna, the Exorcist [1974];Horror/Religious Horror
Love from Mother Only [2003];Horror/Religious Horror
Lucifer Rising [1972];Horror/Religious Horror
Mais ne nous délivrez pas du mal [1971];Horror/Religious Horror
Mystics in Bali [1981];Horror/Religious Horror
Night of the Demon [1957];Horror/Religious Horror
Paura nella Città dei Morti Viventi [1980];Horror/Religious Horror
Priest [2011];Horror/Religious Horror
Prince of Darkness [1987];Horror/Religious Horror
Quella villa accanto al cimitero [1981];Horror/Religious Horror
Rosemary's Baby [1968];Horror/Religious Horror
Satan [1974];Horror/Religious Horror
Satan's Blood [1978];Horror/Religious Horror
Sauna [2008];Horror/Religious Horror
Se7en [1995];Horror/Religious Horror
Seven [1995];Horror/Religious Horror
Seytan [1974];Horror/Religious Horror
Silent Hill [2006];Horror/Religious Horror
Sinister [2012];Horror/Religious Horror
Stigmata [1999];Horror/Religious Horror
Suspiria [1977];Horror/Religious Horror
The Amityville Horror [1979];Horror/Religious Horror
The Beyond [1981];Horror/Religious Horror
The Brotherhood of Satan [1971];Horror/Religious Horror
The Calling [2000];Horror/Religious Horror
The Church [1989];Horror/Religious Horror
The Day of the Beast [1995];Horror/Religious Horror
The Demon [1963];Horror/Religious Horror
The Devil Inside [2012];Horror/Religious Horror
The Devil's Advocate [1997];Horror/Religious Horror
