Gulliver's Travels [2010];[Adventure]
Bride of Re-Animator [1990];[Comedy]/[Comedy Horror]/
Bubba Ho-tep [2002];[Comedy]/[Comedy Horror]/
Buffy the Vampire Slayer [1992];[Comedy]/[Comedy Horror]/
Buppah Rahtree Phase 2: Rahtree Returns [2005];[Comedy]/[Comedy Horror]/
Cannibal Women in the Avocado Jungle of Death [1989];[Comedy]/[Comedy Horror]/
Carry on Screaming! [1966];[Comedy]/[Comedy Horror]/
Cemetery Man [1994];[Comedy]/[Comedy Horror]/
Child's Play 2 [1990];[Comedy]/[Comedy Horror]/
Choking Hazard [2004];[Comedy]/[Comedy Horror]/
Chopper Chicks in Zombietown [1989];[Comedy]/[Comedy Horror]/
Choyonghan kajok [1998];[Comedy]/[Comedy Horror]/
Citizen Toxie: The Toxic Avenger IV [2000];[Comedy Horror]/
Class of Nuke 'Em High [1986];[Comedy]/[Comedy Horror]/
Creepshow III [2006];[Comedy]/[Comedy Horror]/
Dance of the Dead [2008];[Comedy]/[Comedy Horror]/
Dance of the Vampires [1967];[Comedy]/[Comedy Horror]/
Dead & Breakfast [2004];[Comedy]/[Comedy Horror]/
Dead Alive [1992];[Comedy]/[Comedy Horror]/
Dead Snow [2009];[Comedy]/[Comedy Horror]/
Death Becomes Her [1992];[Comedy]/[Comedy Horror]/
Dellamorte Dellamore [1994];[Comedy]/[Comedy Horror]/
Død snø [2009];[Comedy]/[Comedy Horror]/
Doghouse [2009];[Comedy]/[Comedy Horror]/
Doll Graveyard [2005];[Comedy]/[Comedy Horror]/
Dr. Giggles [1992];[Comedy]/[Comedy Horror]/
Drag Me to Hell [2009];[Comedy]/[Comedy Horror]/
El día de la bestia [1995];[Comedy]/[Comedy Horror]/
Elvira, Mistress of the Dark [1988];[Comedy]/[Comedy Horror]/
Elvira's Haunted Hills [2001];[Comedy]/[Comedy Horror]/
Evil Aliens [2005];[Comedy]/[Comedy Horror]/
Evil Bong [2006];[Comedy]/[Comedy Horror]/
Evil Dead II [1987];[Comedy]/[Comedy Horror]/
Evil Ed [1995];[Comedy]/[Comedy Horror]/
Feast [2005];[Comedy]/[Comedy Horror]/
Feast 3: The Happy Finish [2009];[Comedy]/[Comedy Horror]/
Frankenhooker [1990];[Comedy]/[Comedy Horror]/
Fright Night [1985];[Comedy]/[Comedy Horror]/
Frostbiten [2006];[Comedy]/[Comedy Horror]/
Frostbitten [2006];[Comedy]/[Comedy Horror]/
Geung si sin sang [1985];[Comedy]/[Comedy Horror]/
Ghost Busters [1984];[Comedy]/[Comedy Horror]/
Ghostbusters [1984];[Comedy]/[Comedy Horror]/
Ghostbusters II [1989];[Comedy]/[Comedy Horror]/
Gokudô Kyôfu dai-gekijô: Gozu [2003];[Comedy]/[Comedy Horror]/
Gremlins 2: The New Batch [1990];[Comedy]/[Comedy Horror]/
Hatchet [2006];[Comedy]/[Comedy Horror]/
Haunted Spooks [1920];[Comedy]/[Comedy Horror]/
Hausu [1977];[Comedy]/[Comedy Horror]/
High Spirits [1988];[Comedy]/[Comedy Horror]/
House [1977];[Comedy]/[Comedy Horror]/
Hysterical [1983];[Comedy]/[Comedy Horror]/
I Sell the Dead [2008];[Comedy]/[Comedy Horror]/
I Was a Teenage Zombie [1987];[Comedy]/[Comedy Horror]/
Idle Hands [1999];[Comedy]/[Comedy Horror]/
Jennifer's Body [2009];[Comedy]/[Comedy Horror]/
Jigoku kôshien [2003];[Comedy]/[Comedy Horror]/
Johnny Zombie [1993];[Comedy]/[Comedy Horror]/
Juan de los Muertos [2011];[Comedy]/[Comedy Horror]/
Juan of the Dead [2011];[Comedy]/[Comedy Horror]/
Junk [2000];[Comedy]/[Comedy Horror]/
Junk: Shiryô-gari [2000];[Comedy]/[Comedy Horror]/
Katakuri-ke no kôfuku [2001];[Comedy]/[Comedy Horror]/
Khun krabii hiiroh [2004];[Comedy]/[Comedy Horror]/
Killer Condom [1996];[Comedy]/[Comedy Horror]/
Kondom des Grauens [1996];[Comedy]/[Comedy Horror]/
Leprechaun [1993];[Comedy]/[Comedy Horror]/
Life After Beth [2014];[Comedy]/[Comedy Horror]/
Little Otik [2000];[Comedy]/[Comedy Horror]/
Lost Boys: The Thirst [2010];[Comedy]/[Comedy Horror]/
Lost Boys: The Tribe [2008];[Comedy]/[Comedy Horror]/
Love at First Bite [1950];[Comedy]/[Comedy Horror]/
Machine Head [2000];[Comedy]/[Comedy Horror]/
Microwave Massacre [1983];[Comedy]/[Comedy Horror]/
Motel Hell [1980];[Comedy]/[Comedy Horror]/
Mr. Vampire [1985];[Comedy]/[Comedy Horror]/
Murder Party [2007];[Comedy]/[Comedy Horror]/
My Best Friend Is a Vampire [1988];[Comedy]/[Comedy Horror]/
My Boyfriend's Back [1993];[Comedy]/[Comedy Horror]/
My Name Is Bruce [2007];[Comedy]/[Comedy Horror]/
Netherbeast Incorporated [2007];[Comedy]/[Comedy Horror]/
Night of the Comet [1984];[Comedy]/[Comedy Horror]/
